gas,EB_region,mean,CI2.5,CI97.5,cv,EXIOBASE,UNFCCC,OECD,EDGAR
CH4,AT,259.091433576219,-0.255962295098959,0.262210811172705,0.13285150623225,0.491905666264871,0.0347013810117489,-0.0553527894699779,0.539833443460369
CH4,AU,4184.6569544147,-0.225005556239224,0.220881367799575,0.116068228559767,1.06182553158514,0.00719177159356921,,0.895887365791792
CH4,BE,326.400765706977,-0.224217804109193,0.214268606630141,0.110476979517527,1.11494761235319,-0.00400092882991954,-0.102014974244484,1.10592709147222
CH4,BG,371.630775352534,-0.501988347068689,0.58934532642527,0.286252205188476,-0.0646034044741712,-0.198083524633474,-0.33487747411252,-0.062939959081227
CH4,BR,21468.7246545595,-0.234500957896359,0.23678047839839,0.123342579896967,-0.114638388127791,,,-0.0343483505883676
CH4,CA,3702.54744535211,-0.178405440168652,0.192460251446833,0.0975256436573945,0.431923993253199,0.0321803311865698,,0.444269883444436
CH4,CH,217.643129924592,-0.257944968054443,0.282621236078685,0.133757487237652,0.0201779371497259,-0.0858266245177887,-0.114596449395087,0.00258832169645951
CH4,CN,63312.1858919702,-0.223607863819795,0.262580601528874,0.122325575450809,-0.206650417547062,,,-0.0155052819331648
CH4,CY,37.8401986664738,-0.22380486985859,0.33047936331934,0.137571287200885,-0.198250746628244,,-0.0977584367111489,-0.0521226021517125
CH4,CZ,534.85713841148,-0.291197759411547,0.302350499368118,0.153478989519608,-0.197088507764147,0.0428112840539183,-0.0660010606127907,-0.0502326760970274
CH4,DE,2311.37594269163,-0.183626595330257,0.207002577371583,0.100023254521708,0.349812251356628,-0.0175971218444348,-0.0611964242073531,0.363606727945285
CH4,DK,376.385313091886,-0.129616014372743,0.139740075642525,0.0692176500076199,-0.0360386873455099,,-0.248923934683428,-0.0529663973159829
CH4,EE,44.1569453603223,-0.339122715030851,0.380660118868926,0.185889504532764,1.86786657480324,0.0388316305251004,-0.113389758269405,2.17030927256113
CH4,ES,1554.21584866168,-0.316454780279908,0.32835234681913,0.165940029914359,0.150654333669919,0.00860218613620556,-0.0402793786433113,0.103247428994952
CH4,FI,190.721621491757,-0.304722571744153,0.30789316888734,0.153393502894794,3.76087640524976,0.0185768822976038,-0.0227327214284629,3.78318967233779
CH4,FR,2547.55524682891,-0.131331224394962,0.130684933196726,0.0663707936828868,0.0730867002636264,,-0.14754900695355,0.0268019224507678
CH4,GB,2157.79658353944,-0.275680006789129,0.285823776583655,0.144680843002268,0.96065251340903,-0.0152195188875403,-0.0841194137223551,0.962352747416901
CH4,GR,448.764291335955,-0.208903526186445,0.222671788568659,0.1139062663044,0.0838709480318527,-0.0951450367898813,-0.121750532274531,0.0635040899349328
CH4,HR,173.126381656387,-0.160889487139406,0.183554219301589,0.087510645605812,0.00975430601650729,,-0.221967220066195,0.0692524637834144
CH4,HU,301.09228292254,-0.364015929203898,0.337753424570909,0.176432593522682,0.356035305663307,-0.0231791486095388,0.0320523561208064,0.441998316488134
CH4,ID,13507.1276127159,-0.249252176154394,0.281049223776309,0.135628208180596,-0.047529750798764,,,-0.0028978165253305
CH4,IE,528.092023582538,-0.298146785450848,0.313801343250363,0.159839682665904,0.42132691404013,0.00665361959645971,0.0512429182964784,0.355879501096371
CH4,IN,33995.6435296605,-0.231950407788971,0.242838943359233,0.119530015134443,-0.0479170750540115,,,-0.0193052735357124
CH4,IT,1705.57397000407,-0.214964350568399,0.226819612605414,0.118519325535179,0.013248278721107,0.0291808425606381,-0.0209559776548344,-0.038984088955054
CH4,JP,2159.33633079147,-0.172029888023773,0.249648558865929,0.108710142690347,-0.516666374073147,,,-0.0296485257992368
CH4,KR,1397.86838368553,-0.301285658638867,0.335034383679486,0.161563312707597,-0.210136889790962,,-0.266534666663828,-0.00993766857397505
CH4,LT,151.080410321811,-0.376395311029271,0.466228451009024,0.227584439976303,0.121437770858869,-0.0933114566157045,-0.14616991226574,0.14520231585287
CH4,LU,22.7248788981781,-0.160666291630833,0.19292841213523,0.100144635076225,-0.000235249655416103,,-0.0117879131228109,0.00681392167419603
CH4,LV,66.7089227163324,-0.249973705334382,0.257516252268629,0.132790401122048,0.444396730983127,0.0523312639958784,-0.0692099726443642,0.465487078269563
CH4,MT,7.34361469497197,-0.167409959630266,0.209062957192968,0.12453766525953,-0.182268563871686,-0.00917996378765629,-0.0749787016125679,-0.240570964622391
CH4,MX,6677.6983196715,-0.154400239532781,0.171308792344296,0.0850064332619403,-0.0665981090463509,,,0.00652547709543327
CH4,NL,752.197273894476,-0.192232810286584,0.229675660678498,0.109241123909611,0.187095741712445,-0.0320294133474421,-0.0573855760882901,0.134865227439652
CH4,NO,815.476657573462,-0.224236533763362,0.252862671247291,0.119023806662746,-0.0196324250046446,,-0.763277099096353,-0.0208710858845488
CH4,PL,2036.19888052463,-0.379612011109755,0.41764043532605,0.20624354397044,0.156711371064935,-0.0215929817426742,-0.101643254253879,0.24174264247683
CH4,PT,362.902526927891,-0.258828675432582,0.252916585486882,0.132315866181468,0.502917925996294,0.0162534766565772,-0.0135009446458469,0.479831323130681
CH4,RO,1409.99734073051,-0.384924192770352,0.575803739844951,0.257593668925545,-0.406122841996762,-0.161861973521993,-0.333363281725753,-0.400192474351627
CH4,RU,17220.477954436,-0.1266702091317,0.135164369323395,0.065109720212383,-0.00392945891562013,,,0.00426165592289651
CH4,SE,190.56734213935,-0.235230013862174,0.268380824004855,0.13061861854561,1.47389100264395,-0.0312888889459858,-0.0680827155046457,1.50106154770637
CH4,SI,77.9457688462945,-0.299940273344226,0.340738675470119,0.166628382509506,0.472234032631993,0.0282004569464449,-0.0444766777928741,0.70261743559489
CH4,SK,173.58986049376,-0.158520324385086,0.173650275633392,0.0862774045142978,0.249873071145341,0.0440675157479953,-0.22993774164128,0.194938087888355
CH4,TR,2661.28232709305,-0.317292345109394,0.392152303786359,0.182050270004291,0.191952023410432,-0.228044987858717,-0.23047886383518,0.427286576192268
CH4,TW,459.785487675852,-0.377727913582039,0.382221779273666,0.201374785406283,-0.704949640810663,,,-0.091193168359454
CH4,US,25114.7780773474,-0.119022485678547,0.114273433833964,0.0612296966302869,-0.0310496539507049,,,0.00685926967858408
CH4,WA,38685.2627669379,-0.0965870606560524,0.107867398158801,0.0524454640204979,0.0741915481426918,,,
CH4,WE,14561.2957937366,-0.0832912952368449,0.0956322296088055,0.0453617062073523,-0.619164543023189,,,
CH4,WF,38651.5997528604,-0.127296913698064,0.148901164684205,0.0718321377079306,0.158758852188118,,,-0.999994393457584
CH4,WL,21627.4307276203,-0.12675157523527,0.198919112102396,0.0851422486206713,-0.0607232839771015,,,
CH4,WM,32648.7111073308,-0.258195295645874,0.442161454619186,0.181345680200629,-0.270980404636213,,,
CH4,ZA,3204.64877103541,-0.246092722830177,0.263104394531945,0.133589266278016,-0.133851889046438,,,0.0131896236433615
CO2,AT,44913.8372536078,-0.0854644222573282,0.11844891374395,0.0552836501362674,0.0331694014303139,0.475786541496829,0.0121271033538437,0.53764292039671
CO2,AU,363966.570758238,-0.0414669062915908,0.0536270280474318,0.0242156678441101,-0.0341438882041967,0.1032737588491,,0.104359931586113
CO2,BE,78652.0300973244,-0.107313430238276,0.224440696547597,0.083884233957651,0.0304075553013197,0.283900231647884,-0.0881376118168405,0.321927514036753
CO2,BG,47479.065868563,-0.0412342255475401,0.0739213014997211,0.0383764373637861,-0.148919765935254,0.0150637782707972,-0.00714588339842781,0.0208854355709545
CO2,BR,431965.028575257,-0.0874545819853314,0.0888610705929576,0.0453961834395951,0.0226838893327515,,,0.226177720396922
CO2,CA,479220.498165511,-0.0817846295092248,0.084499061642132,0.0423686808987509,-0.0558438963917588,0.201757928348217,,0.230707184683388
CO2,CH,56517.8540652826,-0.356419302019953,0.564715526867079,0.237068101132766,-0.519562772442628,-0.314673323032043,-0.528115275410243,-0.288306373088781
CO2,CN,10400583.9466337,-0.0573599655136795,0.0644727942742753,0.0302019097202245,-0.0672834106124518,,,0.0404032258667246
CO2,CY,7405.47336688692,-0.365495633890079,1.34381900169885,0.502813756337547,0.513254240893126,,-0.291500929101901,-0.139732607220478
CO2,CZ,91739.65692208,-0.0638627699520009,0.0638800472160233,0.0339728820533421,0.0151610494399337,0.142530726218609,-0.0893917984568592,0.172926338086641
CO2,DE,681096.833147705,-0.166021552983219,0.158009043729228,0.083192647202672,0.00947228129264621,0.168433503114642,-0.0162296748563905,0.154660355397883
CO2,DK,69050.5846213819,-0.360131498984176,0.525574142701774,0.235394043014445,-0.326683937606005,,-0.0678643294198967,-0.506971039675628
CO2,EE,15779.4721598741,-0.102192516194898,0.406272414057914,0.141011586914971,-0.0323839006750052,0.00215040624898388,-0.0342705481143533,0.255965914715247
CO2,ES,218032.593773496,-0.0596929787081132,0.0762989586752032,0.0356472108685154,-0.0101994193658319,0.246086694479623,-0.0163902823502093,0.260429702067078
CO2,FI,44226.4640747113,-0.132382346119522,0.294487949975214,0.120189176761424,-0.0234207912154572,-0.00254938624560019,-0.0583446614758144,0.0362917695472398
CO2,FR,225047.970466803,-0.112592751851753,0.129549952210655,0.0622726743422462,0.0569336507370792,,0.0423045207359509,0.436860921342096
CO2,GB,350891.427398113,-0.0869956178694132,0.101092524641012,0.0494940807471296,-0.0899250060412014,0.206069981158709,0.0718244181363046,0.177070059678867
CO2,GR,124240.346269149,-0.251346692750644,0.309470169329522,0.14715860992007,0.0642131981680134,-0.396670186784196,-0.434181132691707,-0.430254162152821
CO2,HR,16465.8637102778,-0.107106259531524,0.475644974607896,0.157441027979528,-0.131499987722972,,-0.210562092051916,0.126739108282524
CO2,HU,37185.2577705405,-0.0707429071504016,0.085466745031842,0.0410889535491888,-0.120450915159114,0.253927393504359,0.0172972104544367,0.270343361060514
CO2,ID,423727.676878597,-0.0604035855284479,0.0632829838525086,0.0321668721773594,-0.00391520225788677,,,0.154837431723395
CO2,IE,37548.8959918233,-0.260708422847865,0.397740934943046,0.174007749403946,0.0542707370650353,0.0265369795544876,-0.0418431740886708,0.0078813213275617
CO2,IN,2160976.19258426,-0.0586076977182855,0.0571552946813838,0.0289904313105839,-0.0748376545280975,,,0.0582349845552186
CO2,IT,268742.717314623,-0.0690022151490854,0.0902410717688149,0.0413783997955678,-0.00342967557806395,0.339899296293626,-0.023171944441318,0.318652993800912
CO2,JP,1109536.90012475,-0.0551068293690717,0.0857938084289549,0.0377132973549156,-0.00852515098969531,,,0.106523433045371
CO2,KR,607664.342969061,-0.0563047737473316,0.0730300478930785,0.0326250347715367,-0.0091496388390383,,-0.0405311637156807,0.0511983948453818
CO2,LT,14983.1616281098,-0.12763730568084,0.375803846399806,0.116100260696716,-0.332775999751774,-0.112527574126756,-0.15756331585456,-0.104589750928321
CO2,LU,8155.52856626596,-0.596312561468034,1.23345185353774,0.495907009998433,0.0690205556453232,,-0.0637130459471704,0.145287531311602
CO2,LV,7837.13370937879,-0.160021120837362,0.601769208304588,0.214063127603165,0.113694576363071,-0.0720197875414103,-0.101018527785402,-0.0179546964983384
CO2,MT,2015.35982368345,-0.346329893106256,2.56624730415228,0.939081544570253,-0.0540987279534122,-0.13896473471385,-0.158005443961585,-0.154245906121959
CO2,MX,395433.463893796,-0.0439614002676764,0.048107282574384,0.0237261573098429,-0.0422722558090648,,,0.233416293565367
CO2,NL,169867.980708233,-0.10796641030527,0.159312938379646,0.0694675474154691,-0.064367758254961,-0.0206120354652248,-0.0933243312962054,-0.00512065023635377
CO2,NO,65479.7355260034,-0.262653211940282,0.430206418210638,0.180440269480004,-0.104763757402177,,-0.0733588718313595,-0.300233350069902
CO2,PL,267623.821184866,-0.0513450163005593,0.0556745237986192,0.0275496392623339,-0.0467749276271516,0.169922983593833,0.0194662447911738,0.137925518605222
CO2,PT,45928.6307765958,-0.0632420162080486,0.122303292534906,0.0476969728663392,-0.00130838929055932,0.138593934426652,0.0168699177463616,0.139991355512182
CO2,RO,72566.2597983049,-0.0551506759045426,0.0770240332479775,0.0341275213597165,-0.232515426712594,0.0711002894990471,-0.0971220208660876,0.0919098395258742
CO2,RU,1510255.91554524,-0.0421430473525271,0.0435046301012014,0.0228352934850684,-0.152041742933421,,,0.121994154693208
CO2,SE,49908.3733404514,-0.154624126831307,0.300560158333874,0.121528763632102,-0.319666024743106,0.00287730963978805,-0.240496725039983,-0.114778919750694
CO2,SI,10546.4028654987,-0.0867847840592022,0.23093200567235,0.121514333776178,-0.0294921279489693,0.291203566596308,-0.0561463347314232,0.361473653849557
CO2,SK,28653.2209772649,-0.0422847741223024,0.0397831368315957,0.02031222396225,-0.0890540027415179,0.203502979253376,-0.0350030796907869,0.207713387525523
CO2,TR,341227.416224542,-0.0711346588018679,0.0862573572773628,0.0397631524728128,-0.0292734266195398,0.117538843169912,-0.00757424257739492,0.070137509457062
CO2,TW,265283.226822046,-0.0857105883487702,0.116402392550784,0.0512289816449312,0.00796861289529138,,,-0.00166520510149704
CO2,US,4094271.90279736,-0.0629535342482412,0.111145866582185,0.0402037853374811,-0.103069342809785,,,0.276269474413402
CO2,WA,1244053.4794494,-0.0326631671111519,0.04053861256808,0.018951944826451,0.280436448558779,,,
CO2,WE,762610.570337428,-0.0259132243324135,0.0281904852211912,0.0144356225412493,-0.58298721787599,,,
CO2,WF,276659.766312182,-0.0824165109500912,0.0858471610668901,0.0425406053030747,0.600289167060045,,,
CO2,WL,691377.605833438,-0.0320660121149712,0.0382537401384326,0.018039940570919,-0.0405666106589172,,,
CO2,WM,2223316.9383348,-0.0249056290685977,0.0258455863022222,0.0130438703731821,-0.160690031009513,,,
CO2,ZA,433727.33191812,-0.082090344001914,0.0869137477314612,0.0433617346165459,-0.183465708669618,,,0.100953482148656
N2O,AT,18.0815146883924,-0.630670679332938,0.93283033767295,0.440129697163312,-0.430593764070561,-0.345153593640483,-0.397672142644576,-0.246145567020142
N2O,AU,69.5853099895677,-0.562860106574429,0.620839856203281,0.318396787788164,2.33648577752751,-0.0568464383980739,,1.31155518974821
N2O,BE,32.4259935325796,-0.466721165174243,0.661375337270468,0.302481599843341,-0.595571276224359,-0.375443157796941,-0.395700860166022,-0.0480613811578481
N2O,BG,37.3670789354112,-0.742533398462372,1.02719466373905,0.479631179312123,-0.67176188494272,-0.54776515668865,-0.620789197237151,-0.673401378748587
N2O,BR,971.871884309435,-0.743007561196241,1.32379192508992,0.532455882574061,-0.429038524744179,,,-0.393454908073589
N2O,CA,125.81736642254,-0.399547133213858,0.401879152446316,0.198717316628346,-0.0248397517917506,-0.0267588508161343,,-0.105236041368237
N2O,CH,18.0655968748729,-0.454448623690341,0.571607420507764,0.261446159217118,-0.639649426324384,-0.45941925396541,-0.456314669920414,-0.543107391821977
N2O,CN,2126.47211031684,-0.606017496911248,0.881489216669416,0.388180781571011,-0.347764377445569,,,-0.358825261384751
N2O,CY,1.4479530483173,-0.522034156789912,1.27060271890918,0.508537918096353,-0.421536579767323,,-0.506890088162902,-0.316169068826241
N2O,CZ,21.3358208405169,-0.484756277108164,0.518054861896981,0.260009622384562,-0.181127531606289,-0.029228149587321,-0.0681399066567019,0.0422983789525051
N2O,DE,207.749837245312,-0.613208037334011,0.815233528927146,0.370292526705907,-0.464154134914265,-0.375425429929493,-0.494964706633637,-0.364071596060831
N2O,DK,27.333535623368,-0.452449161783677,1.0014470976542,0.377224232332434,-0.395768195614264,,-0.28315164675408,-0.31564679005141
N2O,EE,6.05560114632883,-0.449126054514997,0.552564476552899,0.249132688533373,-0.245465271130634,-0.48791249021411,-0.532664068914831,-0.44403725216017
N2O,ES,203.766072209277,-0.731926999547901,1.0143481966919,0.463318933689474,-0.708919643319156,-0.701282723905005,-0.730671551917456,-0.633292798002832
N2O,FI,20.1175562312199,-0.559470789792032,0.644407225769077,0.309563954326854,-0.154624240321521,-0.205206063473991,-0.213970135425285,0.0304611710342431
N2O,FR,164.05706935769,-0.564358291940244,1.2615436454117,0.518364331219361,-0.269197810341062,,-0.212463074551784,-0.188547672515713
N2O,GB,75.8945333115699,-0.463083088538375,0.538029307464588,0.263246611181124,0.166777589785747,-0.159363359836492,-0.113985934613437,0.143225460567359
N2O,GR,32.5804972861674,-0.551546843700308,0.872262965637696,0.3754915564093,-0.619226111162874,-0.562452167165976,-0.5683921004493,-0.546606926880254
N2O,HR,9.57487064078272,-0.359340612915623,0.783566245162311,0.326343404241771,-0.552888513447329,,-0.408660418253217,-0.107886196513593
N2O,HU,26.3219164787535,-0.783064529682403,1.38931918634739,0.592830796351907,-0.374037721962476,-0.422193541244187,-0.444379363037452,-0.216240993858507
N2O,ID,365.706501585525,-0.710251435178256,1.06296937673001,0.482915692454136,-0.257448150578053,,,-0.357660688495952
N2O,IE,26.772489303711,-0.739539150473416,1.05310497783503,0.483102343507057,0.140094247137756,-0.203455356250369,-0.198729720025454,0.0122913358410208
N2O,IN,1067.22445039719,-0.666512515403012,1.05380865077438,0.459656936813126,-0.275187625354613,,,-0.36886767893499
N2O,IT,60.2240361681827,-0.349592908412065,0.397552597921109,0.206593286873265,-0.252352996854608,-0.00487588387353888,-0.0550616727002861,-0.0727157065123003
N2O,JP,77.7148949602108,-0.342695049255354,0.479331182651844,0.208878709854841,-0.473976198834752,,,-0.170924906548293
N2O,KR,52.2811346087007,-0.342731664310951,0.51764680318688,0.225645626644958,-0.472256350207037,,-0.0872233290809601,-0.166598338752791
N2O,LT,13.1726687109552,-0.637083391761025,0.871080817793121,0.391118944918101,-0.132616479937541,-0.208891576026261,-0.233868229631638,0.367911009228397
N2O,LU,1.15562648034361,-0.475541927772037,0.970544613649878,0.384363816390616,-0.148248450797948,,-0.133803164754094,-0.106615537419146
N2O,LV,6.7099613923985,-0.644019879770621,0.694736325013541,0.363071297829459,-0.0648530486128976,-0.0389421964829868,-0.310279190988653,-0.157588408257521
N2O,MT,0.273403332219668,-0.482465099110304,2.03373722203899,0.994857993954362,-0.342914142021592,-0.442554117503561,-0.319686418998885,-0.359098685419041
N2O,MX,393.193989417734,-0.244368869232963,0.541676714149518,0.21967195235119,-0.705659607288601,,,-0.0628824284672668
N2O,NL,35.890695157336,-0.461484147047029,0.573185534996695,0.269257166718203,-0.248817282121192,-0.176450430241547,-0.219992817712869,0.175387822261913
N2O,NO,16.840203458784,-0.394483129953011,0.724678784668335,0.305282635271431,-0.425984025586667,,-0.484507415765697,-0.293365906633275
N2O,PL,100.904870507551,-0.412072338148768,0.512053725974453,0.235289985110761,-0.338274462600104,-0.32431705743859,-0.296842663360931,-0.120708639143539
N2O,PT,14.8395160170046,-0.529766554650614,0.673529667391117,0.311136116655833,-0.378129269868641,-0.267762362733289,-0.29990978222637,-0.145649552442928
N2O,RO,56.4146544448763,-0.733324932132764,1.04462081409745,0.486092175005817,-0.563447895909164,-0.556813212524947,-0.377732606085505,-0.358040738019566
N2O,RU,285.411990211196,-0.407728399093444,0.905933435107698,0.343471959509713,-0.456034155638868,,,-0.120958610844803
N2O,SE,25.310133815795,-0.395925828948406,0.456852540907148,0.231707941880152,-0.355728759999082,-0.372307095731194,-0.388821880098222,0.203444931616391
N2O,SI,4.73455029831731,-0.640517267656005,1.0057945691673,0.42975807364351,-0.540839893128855,-0.466453443400959,-0.508084220622233,-0.422083598873317
N2O,SK,11.2883143549137,-0.542467090324209,0.738200341459775,0.331705717449205,-0.525823464299239,-0.388288619212127,-0.462984480285909,0.0149159228281097
N2O,TR,147.270750116005,-0.591761517089275,0.884034812355224,0.395078502315983,-0.377906428474147,-0.201909765089896,-0.272998881884801,-0.0163301517398611
N2O,TW,29.1329033160182,-0.439542180566159,0.584248746743894,0.261811487510541,-0.64822601924802,,,-0.384182315434497
N2O,US,1081.60977757384,-0.501751929694735,1.16781647090879,0.432096843979497,-0.361329046002446,,,-0.08778415892068
N2O,WA,931.837338463732,-0.290133114777878,0.370929313090381,0.169203380143568,-0.111657716732165,,,
N2O,WE,375.932690976028,-0.26011749081498,0.41770621222885,0.178430633917401,-0.666070968489907,,,
N2O,WF,1300.3048987806,-0.274115991532946,0.318367624600984,0.153235629289276,-0.0413358791395695,,,-0.999989980946301
N2O,WL,816.568896067154,-0.351997186619509,0.544070968693254,0.234616780925677,-0.430194732220169,,,
N2O,WM,430.629081672774,-0.263435306956197,0.34070549140959,0.151589316553494,-0.597415529097654,,,
N2O,ZA,98.4261075584462,-0.68715791279221,1.03730268008104,0.46076077474115,-0.453604119885988,,,-0.318868336927778
